,0,1,2
0,Intercept,5.6437***,6.7725***
1,,(0.0515),(0.0)
2,Exclusive Static,0.61***,0.6104***
3,,(0.0),(0.0)
4,"Low Income, At Risk of Change",0.7409***,0.7423***
5,,(0.0001),(0.0)
6,"Low Income, Undergoing Change",0.4753***,0.4754***
7,,(0.0),(0.0)
8,T,-0.0002***,-0.0012***
9,,(0.0),(0.0)
10,T * Exclusive Static,-0.0002***,-0.0002***
11,,(0.0),(0.0)
12,"T * Low Income, At Risk of Change",-0.0005***,-0.0005***
13,,(0.0),(0.0)
14,"T * Low Income, Undergoing Change",-0.0006***,-0.0006***
15,,(0.0),(0.0)
16,Time aggregation Dummies,Yes,No
17,Number of obs.,4497.0,4497.0
18,Adj-R2,0.413,0.272
19,F-statistic:,136.364,1.2736990577894312e+26
20,Prob (F-statistic),0.0,0.0
